"date","day_night","year","month","season","count","is_workday","is_weekend","is_holiday","temp","temp_feel","humidity","wind_speed","weather_type"
2015-01-04,"day","2015","1","winter",6830,FALSE,TRUE,FALSE,2.16666666666667,-0.75,95.1666666666667,10.4166666666667,"broken clouds"
2015-01-04,"night","2015","1","winter",2404,FALSE,TRUE,FALSE,2.79166666666667,2.04166666666667,93.375,4.58333333333333,"clear"
2015-01-05,"day","2015","1","winter",14763,TRUE,FALSE,FALSE,8.95833333333333,7.70833333333333,81.0833333333333,8.66666666666667,"broken clouds"
2015-01-05,"night","2015","1","winter",5609,TRUE,FALSE,FALSE,7.125,5.70833333333333,79.5416666666667,9.04166666666667,"cloudy"
2015-01-06,"day","2015","1","winter",14501,TRUE,FALSE,FALSE,9,6.45833333333333,80.2083333333333,19.2083333333333,"broken clouds"
2015-01-06,"night","2015","1","winter",6112,TRUE,FALSE,FALSE,6.70833333333333,4.20833333333333,77.5833333333333,12.7916666666667,"clear"
2015-01-07,"day","2015","1","winter",16358,TRUE,FALSE,FALSE,8.16666666666667,5.08333333333333,75.2083333333333,21.25,"scattered clouds"
2015-01-07,"night","2015","1","winter",4706,TRUE,FALSE,FALSE,6.68181818181818,3.86363636363636,81.2727272727273,18.1363636363636,"clear"
2015-01-08,"day","2015","1","winter",9971,TRUE,FALSE,FALSE,9.45833333333333,7.125,79.4166666666667,18.75,"scattered clouds"
2015-01-08,"night","2015","1","winter",5630,TRUE,FALSE,FALSE,10.0416666666667,8.45833333333333,79.2083333333333,22.2083333333333,"clear"
2015-01-09,"day","2015","1","winter",16568,TRUE,FALSE,FALSE,12.7083333333333,12.7083333333333,73.2916666666667,30.3333333333333,"clear"
2015-01-09,"night","2015","1","winter",5536,TRUE,FALSE,FALSE,12.75,11.9583333333333,76.4166666666667,35.5,"broken clouds"
2015-01-10,"day","2015","1","winter",10413,FALSE,TRUE,FALSE,11.2916666666667,9.75,64.3333333333333,37.875,"broken clouds"
2015-01-10,"night","2015","1","winter",4296,FALSE,TRUE,FALSE,9.66666666666667,7.66666666666667,67.9166666666667,30.75,"clear"
2015-01-11,"day","2015","1","winter",11504,FALSE,TRUE,FALSE,7.08333333333333,3,63,26.3333333333333,"clear"
2015-01-11,"night","2015","1","winter",3071,FALSE,TRUE,FALSE,6.20833333333333,1.91666666666667,72.1666666666667,26.7916666666667,"clear"
2015-01-12,"day","2015","1","winter",13005,TRUE,FALSE,FALSE,11.4583333333333,10.5416666666667,76.8333333333333,29.8333333333333,"rain"
2015-01-12,"night","2015","1","winter",4194,TRUE,FALSE,FALSE,10.7916666666667,8.95833333333333,76.3333333333333,26.5416666666667,"rain"
2015-01-13,"day","2015","1","winter",17769,TRUE,FALSE,FALSE,8.75,5.58333333333333,72,21.2083333333333,"scattered clouds"
2015-01-13,"night","2015","1","winter",6928,TRUE,FALSE,FALSE,8.45833333333333,6.58333333333333,79.625,21.2083333333333,"rain"
2015-01-14,"day","2015","1","winter",17885,TRUE,FALSE,FALSE,5.875,1.79166666666667,63.375,24.0833333333333,"scattered clouds"
2015-01-14,"night","2015","1","winter",5680,TRUE,FALSE,FALSE,7.125,3.16666666666667,70.875,27.4166666666667,"clear"
2015-01-15,"day","2015","1","winter",16713,TRUE,FALSE,FALSE,8.79166666666667,5.25,65.2916666666667,26.875,"scattered clouds"
2015-01-15,"night","2015","1","winter",6255,TRUE,FALSE,FALSE,8.875,6,67.625,35.4583333333333,"scattered clouds"
2015-01-16,"day","2015","1","winter",16976,TRUE,FALSE,FALSE,6.5,3.5,67.4166666666667,16.4583333333333,"scattered clouds"
2015-01-16,"night","2015","1","winter",5687,TRUE,FALSE,FALSE,5.08333333333333,1.58333333333333,65.0416666666667,18.4583333333333,"clear"
2015-01-17,"day","2015","1","winter",11131,FALSE,TRUE,FALSE,4.45833333333333,1.04166666666667,71.375,16.1666666666667,"clear"
2015-01-17,"night","2015","1","winter",4137,FALSE,TRUE,FALSE,3.125,0.0833333333333333,78.8333333333333,11,"clear"
2015-01-18,"day","2015","1","winter",9729,FALSE,TRUE,FALSE,3.83333333333333,2.125,83.75,8.375,"scattered clouds"
2015-01-18,"night","2015","1","winter",3470,FALSE,TRUE,FALSE,2.95833333333333,1.70833333333333,84.9166666666667,5.58333333333333,"clear"
2015-01-19,"day","2015","1","winter",16621,TRUE,FALSE,FALSE,3.16666666666667,1.41666666666667,75.6666666666667,6.875,"scattered clouds"
2015-01-19,"night","2015","1","winter",6413,TRUE,FALSE,FALSE,1.66666666666667,0.166666666666667,84.3333333333333,5.5,"broken clouds"
2015-01-20,"day","2015","1","winter",16804,TRUE,FALSE,FALSE,2.16666666666667,-0.25,82.7916666666667,8.79166666666667,"clear"
2015-01-20,"night","2015","1","winter",6443,TRUE,FALSE,FALSE,1.95833333333333,-0.0833333333333333,81.125,9.54166666666667,"clear"
2015-01-21,"day","2015","1","winter",16102,TRUE,FALSE,FALSE,3.04166666666667,-0.875,86.5,16.9166666666667,"broken clouds"
2015-01-21,"night","2015","1","winter",6680,TRUE,FALSE,FALSE,3.04166666666667,0.125,82.0416666666667,12.5416666666667,"cloudy"
2015-01-22,"day","2015","1","winter",16816,TRUE,FALSE,FALSE,3.54166666666667,1.54166666666667,68.625,8.91666666666667,"broken clouds"
2015-01-22,"night","2015","1","winter",6462,TRUE,FALSE,FALSE,1.625,0.541666666666667,80.3333333333333,4.54166666666667,"clear"
2015-01-23,"day","2015","1","winter",16728,TRUE,FALSE,FALSE,2.54166666666667,-0.333333333333333,74.875,11.75,"clear"
2015-01-23,"night","2015","1","winter",5164,TRUE,FALSE,FALSE,2.875,0.291666666666667,83.9583333333333,13.0833333333333,"scattered clouds"
2015-01-24,"day","2015","1","winter",13578,FALSE,TRUE,FALSE,5.79166666666667,2.25,67.5,19.5833333333333,"clear"
2015-01-24,"night","2015","1","winter",3961,FALSE,TRUE,FALSE,5.625,2.41666666666667,77.9583333333333,16.5416666666667,"clear"
2015-01-25,"day","2015","1","winter",11290,FALSE,TRUE,FALSE,5.95833333333333,2.79166666666667,73.2083333333333,16.8333333333333,"broken clouds"
2015-01-25,"night","2015","1","winter",3804,FALSE,TRUE,FALSE,5.08333333333333,1.83333333333333,81.5416666666667,15.5,"clear"
2015-01-26,"day","2015","1","winter",16215,TRUE,FALSE,FALSE,9.375,6.625,72.4166666666667,20.25,"scattered clouds"
